created_at,favorite_count,full_text,quote_count,reply_count,retweet_count,username,tokens,sentiment
Fri Aug 02 23:55:08 +0000 2024,1,ss azarine ini bikin kucel enggak ya kalau iya saran ss lain yang enggak kucel ganti ini buat oily skin kantong ajar prenli ya gusy,0,22,0,baseconvo,"['ss', 'azarine', 'bikin', 'kucel', 'enggak_ya', 'iya', 'saran', 'ss', 'enggak_kucel', 'ganti', 'oily', 'skin', 'kantong', 'ajar', 'prenli', 'ya', 'gusy']",Neutral
Fri Aug 02 22:49:44 +0000 2024,0,azarine kak anak nya teman ku usia remaja ngikut aku juga pakai ss azarine saja kata sudah mulai kurang jerawat nya juga,0,1,0,yayangke,"['azarine', 'kak', 'anak', 'nya', 'teman', 'ku', 'usia', 'remaja', 'ngikut', 'pakai', 'ss', 'azarine', 'kurang_jerawat', 'nya']",Positive
Fri Aug 02 18:14:26 +0000 2024,0,aku nemu promo tarik di lazada nih yuk coba lihat nama produk azarine micellar water ml cleanser wajah bersih pakai up l,0,0,0,disc_beauty,"['nemu', 'promo', 'tarik', 'lazada', 'nih', 'yuk', 'coba', 'lihat', 'nama', 'produk', 'azarine', 'micellar', 'water', 'ml', 'cleanser', 'wajah', 'bersih', 'pakai', 'up', 'l']",Neutral
Fri Aug 02 18:05:15 +0000 2024,0,kode cantik agu sampai habis diskon sd ribu minbel ribu kode beauty khusus produk cantik amp awat rekomendasi tokotoko urut cara abjad alchemist fragrance azarine barenbliss,1,0,0,AkulahPara,"['kode', 'cantik', 'agu', 'habis', 'diskon', 'sd', 'ribu', 'minbel', 'ribu', 'kode', 'beauty', 'khusus', 'produk', 'cantik', 'amp', 'awat', 'rekomendasi', 'tokotoko', 'urut', 'abjad', 'alchemist', 'fragrance', 'azarine', 'barenbliss']",Neutral
Fri Aug 02 17:55:38 +0000 2024,0,nah bego nya aku pakai azarine juga ini enggak habishabis karena jarang pakai mau ganti ke facetology atau ke physical sunscreen begitu sih rip asli,0,0,0,calovessa,"['bego', 'nya', 'pakai', 'azarine', 'enggak_habishabis', 'jarang', 'pakai', 'ganti', 'facetology', 'physical', 'sunscreen', 'sih', 'rip', 'asli']",Negative
Fri Aug 02 17:54:50 +0000 2024,0,iya bawah saja kalau enggak cocok sama azarine sayang dia juga chemical rada percuma begitu enggak duduk di atas kulit kamu,0,0,0,calovessa,"['iya', 'enggak_cocok', 'azarine', 'sayang', 'chemical', 'rada', 'enggak_duduk', 'kulit']",Positive
Fri Aug 02 17:43:43 +0000 2024,6,mau ceritaaa hehe jastip social chic day hari ini rame yang jastip di akupercayalah aku sampai venue pm dan baru selesai jastip pm sampai bayar parkir mobil ke cui paling banyak cari ikiarum azarine arcell thank you sok much antusias day sabtu aku jastip ke,0,1,0,lijeuni,"['ceritaaa', 'hehe', 'jastip', 'social', 'chic', 'day', 'rame', 'jastip', 'akupercayalah', 'venue', 'pm', 'selesai', 'jastip', 'pm', 'bayar', 'parkir', 'mobil', 'cui', 'cari', 'ikiarum', 'azarine', 'arcell', 'thank', 'you', 'sok', 'much', 'antusias', 'day', 'sabtu', 'jastip']",Neutral
Fri Aug 02 17:12:04 +0000 2024,6,beauty diskon sd ke minimal beli ke laku hanya untuk kategori cantik amp awat tubuh rekomendasi toko avoskin azarine cosmetics bioderma official store dalba indonesia,1,0,0,re_aruni,"['beauty', 'diskon', 'sd', 'minimal', 'beli', 'laku', 'kategori', 'cantik', 'amp', 'awat', 'tubuh', 'rekomendasi', 'toko', 'avoskin', 'azarine', 'cosmetics', 'bioderma', 'official', 'store', 'dalba', 'indonesia']",Neutral
Fri Aug 02 17:06:42 +0000 2024,0,temu gel azarine hydrasoothe sunscreen gel spf apa ml lolos uji invivo invitro best seller sunscreen kulit minyak jerawat harga rp dapat sekarang juga di shopee,0,0,0,AkulahPara,"['temu', 'gel', 'azarine', 'hydrasoothe', 'sunscreen', 'gel', 'spf', 'ml', 'lolos', 'uji', 'invivo', 'invitro', 'best', 'seller', 'sunscreen', 'kulit', 'minyak', 'jerawat', 'harga', 'rp', 'shopee']",Neutral
Fri Aug 02 17:04:27 +0000 2024,0,temu gel azarine hydrasoothe sunscreen gel spf apa ml lolos uji invivo invitro best seller sunscreen kulit minyak jerawat harga rp dapat sekarang juga di shopee,0,1,0,i_m_mortal_,"['temu', 'gel', 'azarine', 'hydrasoothe', 'sunscreen', 'gel', 'spf', 'ml', 'lolos', 'uji', 'invivo', 'invitro', 'best', 'seller', 'sunscreen', 'kulit', 'minyak', 'jerawat', 'harga', 'rp', 'shopee']",Neutral
Fri Aug 02 16:55:25 +0000 2024,0,terus aku bingung harus rekomendasi apa bawah azarine mau aku rekomen stacey tapi shadenya bukan dia banget terus akhir aku rekomen sih hanasui sama imploraa tapi aku belum pernah coba sih implora,0,0,0,apollorhapsody,"['bingung', 'rekomendasi', 'azarine', 'rekomen', 'stacey', 'shadenya', 'bukan_dia', 'banget', 'rekomen', 'sih', 'hanasui', 'imploraa', 'belum_pernah', 'coba', 'sih', 'implora']",Neutral
Fri Aug 02 16:55:25 +0000 2024,0,tapi dipikirpikir aku boros banget di dunia perlippieann hahahahhaah kemarin tanya teman rekomendasi liptint karena liptint dia azarine dan turut dia mahal tapi turut azarine itu benar paling affordable dan ok banget,0,1,0,apollorhapsody,"['dipikirpikir', 'boros', 'banget', 'dunia', 'perlippieann', 'hahahahhaah', 'kemarin', 'teman', 'rekomendasi', 'liptint', 'liptint', 'azarine', 'mahal', 'azarine', 'affordable', 'ok', 'banget']",Positive
Fri Aug 02 16:38:06 +0000 2024,0,sorry ini chemical bukan physical ss azarine yang physical tuh sudah enggak ada,0,2,0,DaVoida_,"['sorry', 'chemical', 'bukan_physical', 'ss', 'azarine', 'physical', 'tuh', 'enggak_ada']",Neutral
Fri Aug 02 16:35:23 +0000 2024,0,kode cantik agu sampai habis diskon sd ribu minbel ribu kode beauty khusus produk cantik amp awat rekomendasi tokotoko urut cara abjad a thread alchemist fragrance azarine,0,1,1,AkulahPara,"['kode', 'cantik', 'agu', 'habis', 'diskon', 'sd', 'ribu', 'minbel', 'ribu', 'kode', 'beauty', 'khusus', 'produk', 'cantik', 'amp', 'awat', 'rekomendasi', 'tokotoko', 'urut', 'abjad', 'a', 'thread', 'alchemist', 'fragrance', 'azarine']",Neutral
Fri Aug 02 16:33:16 +0000 2024,0,peeling serum azarine oke juga enggak cekat cekit bikin bersih poripori di aku ya ges beda kulit beda reaksi,0,0,0,bukanBeatricemu,"['peeling', 'serum', 'azarine', 'oke', 'enggak_cekat', 'cekit', 'bikin', 'bersih', 'poripori', 'ya', 'ges', 'beda', 'kulit', 'beda', 'reaksi']",Positive
Fri Aug 02 16:21:43 +0000 2024,0,please buat yang minat segera adopsi saja moisturizer azarine ini karena dia sangat useless buat muka aku mumpung sisa expirednya masih tahun lebih,0,0,0,mudslugg_,"['please', 'minat', 'adopsi', 'moisturizer', 'azarine', 'useless', 'muka', 'mumpung', 'sisa', 'expirednya']",Negative
Fri Aug 02 16:21:06 +0000 2024,0,jb wtb azarine sunscreen yang bisa lewat tokpeddd,0,8,0,JUALAN_AUTOBASE,"['jb', 'wtb', 'azarine', 'sunscreen', 'tokpeddd']",Neutral
