"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1830648131803107729","Mon Sep 02 16:56:03 +0000 2024","1","@itsvarbie Pake azarine soalnya retinol itu agak tricky tp pake produk itu gpp gk ada iritasi dll selama make","1830650909132759053","","itsvarbie","in","Antah berantah","0","0","0","https://x.com/twosideone/status/1830650909132759053","1613427321192710146","twosideone"
"1830650439521677559","Mon Sep 02 16:54:11 +0000 2024","0","Siapa tau berubah harga lagi pukul 23:59 29rb Azarine Barrier Moisturizer https://t.co/t5vr51xzeC 50rb Azarine 2 Pcs Paket https://t.co/BJKiuULaxQ 68rb Azarine Hydramax-C SS 40ml x2 https://t.co/B8E2mKSleI 73rb Azarine Hydrasoothe SS 50ml x2 https://t.co/mULnensSxx https://t.co/7a9BPZ15eX","1830650439521677559","https://pbs.twimg.com/media/GWfG3r0bsAAhVAz.jpg","","in","","1","0","0","https://x.com/xkode06/status/1830650439521677559","1305090402626617344","xkode06"
"1830649867821363678","Mon Sep 02 16:51:54 +0000 2024","0","AZARINE TURUN HARGA ⏰ 23.59 29.900 Temukan [Azarine x Marvel] Niacinamide 5% + Moisture Sepiwhite Serum 20ml seharga Rp53.010. Dapatkan sekarang juga di Shopee! https://t.co/LR2UCngE20","1830649867821363678","","","in","","0","0","0","https://x.com/sisukadiskon/status/1830649867821363678","1827552856087654401","sisukadiskon"
"1830649787810820211","Mon Sep 02 16:51:35 +0000 2024","0","AZARINE TURUN HARGA ⏰ 23.59 29.900 Temukan [Azarine x Marvel] Niacinamide 5% + Moisture Sepiwhite Serum 20ml seharga Rp53.010. Dapatkan sekarang juga di Shopee! https://t.co/lPHFxV081D","1830649787810820211","","","in","Location unknown ","0","0","0","https://x.com/enroseisback/status/1830649787810820211","2485173252","enroseisback"
"1830648883774697576","Mon Sep 02 16:48:00 +0000 2024","1","Siapa tau berubah harga lagi pukul 23:59 *Ada parfum onix Azarine alat cukur dll https://t.co/8HJVoC3gzI https://t.co/aXhPjNYjfl","1830648883774697576","https://pbs.twimg.com/media/GWedBBMW4AA3Alo.jpg","","in","","0","0","0","https://x.com/xkode06/status/1830648883774697576","1305090402626617344","xkode06"
"1830648831727530447","Mon Sep 02 16:47:47 +0000 2024","0","AZARINE TURUN HARGA ⏰ 23.59 73.900 Temukan [Twin Pack Gel] Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++ [2x50ml] [LOLOS UJI INVIVO INVITRO] BEST SELLER sunscreen kulit berminyak berjerawat seharga Rp102.600. Dapatkan sekarang juga di Shopee! https://t.co/cxD553STQh","1830648831727530447","","","in","Location unknown ","0","0","0","https://x.com/enroseisback/status/1830648831727530447","2485173252","enroseisback"
"1830648680627728681","Mon Sep 02 16:47:11 +0000 2024","0","AZARINE TURUN HARGA ⏰ 23.59 73.900 Temukan [Twin Pack Gel] Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++ [2x50ml] [LOLOS UJI INVIVO INVITRO] BEST SELLER sunscreen kulit berminyak berjerawat seharga Rp102.600. Dapatkan sekarang juga di Shopee! https://t.co/bdC6wA4VJp","1830648680627728681","","","in","","0","0","0","https://x.com/sisukadiskon/status/1830648680627728681","1827552856087654401","sisukadiskon"
"1829477582724833564","Mon Sep 02 16:12:19 +0000 2024","1","3️⃣ Ketiga PROTECT. Udah habis sekitar 3 botol pakai si Azarine Cicamide Barrier Sunscreen Moisturizer. Gel tekstur yg nyaman cocok untuk calming kulit juga dan nggak sumuk di wajah. Ringan bgt buat daily use untuk aku yg kegiatannya mostly di indoor~ https://t.co/gjCsSYmZAM","1830639902566060162","https://pbs.twimg.com/media/GWe9SDUWIAIufHy.jpg","vanillaberrys","in","2001","0","1","0","https://x.com/vanillaberrys/status/1830639902566060162","1290627616873918465","vanillaberrys"
"1829477582724833564","Mon Sep 02 16:10:06 +0000 2024","1","2️⃣ Kedua MOISTURIZE. Nah udah botol kedua aku pake Azarine Intense Luminous Barrier Moisturizer yg fokusnya &gt; untuk fix skin barrier &amp; meredakan kemerahan Teksturnya light seamless di kulit cocok buat pemakaian pagi &amp; malam. Combination to oily skin will like it. https://t.co/tYWo5JC9bo","1830639345562456274","https://pbs.twimg.com/media/GWe8xnTXoAAm6OH.jpg","vanillaberrys","in","2001","0","1","0","https://x.com/vanillaberrys/status/1830639345562456274","1290627616873918465","vanillaberrys"
"1829477582724833564","Mon Sep 02 16:09:31 +0000 2024","1","1️⃣ Pertama CLEANSE. Ada Azarine Brightening Creamy Facial Foam untuk cuci muka. Kalo ini perdana yah aku cobain facial wash mereka turns out super creamy lembut di kulit dan nggak narik kelembapan kulit. Udah pH balanced. https://t.co/BboWMtC7I2","1830639201093849557","https://pbs.twimg.com/media/GWe8pPJaUAEAZDM.jpg","vanillaberrys","in","2001","0","1","0","https://x.com/vanillaberrys/status/1830639201093849557","1290627616873918465","vanillaberrys"
"1830638464666308617","Mon Sep 02 16:06:36 +0000 2024","0","aksksksk we sarani ss klian dong aku pake azarine closed comeda jadinya anj jeleq bgt kek blukutuk mukak ini","1830638464666308617","","","in","a mimir","0","0","0","https://x.com/sipaaaapasi/status/1830638464666308617","1783919267223900162","sipaaaapasi"
"1830637413821198598","Mon Sep 02 16:02:25 +0000 2024","0","Temanggung siap mendukung IAF 2024 dengan semangat dari kaki Gunung Sumbing. #IAFSolidaritasGlobal","1830637413821198598","","","in","","0","0","0","https://x.com/azarine_afifahh/status/1830637413821198598","1696397550063108096","azarine_afifahh"
"1829752162169344054","Mon Sep 02 15:31:28 +0000 2024","0","Xl akrab nya sold jgn ada yg tf lg yaaa","1830629624772276530","","bigwinyook","in","wa➸","0","0","0","https://x.com/bigwinyook/status/1830629624772276530","1362378952837238785","bigwinyook"
"1830551837097017487","Mon Sep 02 15:01:09 +0000 2024","0","@ohmy_beautybank azarine yang biruuuuu","1830621993076695419","","ohmy_beautybank","in","medium skin warm-undertone","0","0","0","https://x.com/corneliavstreet/status/1830621993076695419","1698863772549660672","corneliavstreet"
"1830536582610502030","Mon Sep 02 15:00:04 +0000 2024","0","@tiaraadstya Yeayyy happy birthday kakkk! Wish u all the best yaaa sehat selaluuu aku mauuu yang skincare an karna pas banget aku lagi pengen cobain produk yg kakak GA in terus kalau azarine sama npure aku pengguna merk ituuu juga hehehe terimakasih sebelumnya kakk ️","1830621721717796990","","tiaraadstya","in","","0","0","0","https://x.com/lotsofchatter/status/1830621721717796990","1798764132591865857","lotsofchatter"
"1830619387365089385","Mon Sep 02 14:50:47 +0000 2024","5","#timsekop bersyukur versiku hari ini : alhamdullilah orang tua ku dikasi rezeki sama tuhan adekku dibeliin hp baru walopun second soale adekku dikatain temen sekolah e karena hp ne gaisa buat ngedit vidio tugas sekolah","1830619387365089385","","","in","","0","0","0","https://x.com/virqurius/status/1830619387365089385","1356850388842893312","virqurius"
"1830608554434474462","Mon Sep 02 14:21:09 +0000 2024","0","@sundoongiee kurang tauu kayanya putih tuh buat normal to dryy. aku make senka pink gk cocok sekarang make azarine pink","1830611929674694957","","sundoongiee","in","ca","0","0","0","https://x.com/lilfairyur/status/1830611929674694957","1468503372240093186","lilfairyur"
"1830611163174096963","Mon Sep 02 14:18:07 +0000 2024","3","OMG! @ActorLeeMinHo bawa #Azarine Hydrasoothe Sunscreen Gel ke mana-mana! Dalam interview terbaru dengan #Vogue #LeeMinho share yang sunscreen ni selalu ada dalam tas dia. Kalau Lee Minho je percaya patutlah kita pun! Credit : Vogue YouTube #Repost @AzarineCosmetic https://t.co/BUtHwYbcax","1830611163174096963","https://pbs.twimg.com/ext_tw_video_thumb/1830611143821266946/pu/img/oJHDteFOZ1FEtLp-.jpg","","in","","0","0","2","https://x.com/MinozDArgentina/status/1830611163174096963","2972261445","MinozDArgentina"
